diet_date,carbs_g,protein_g,fat_g,calories_kcal,cardio_semanal_min,bodyweight_kg,notes,cycle_id
2023-05-06,250,190,85,2525,210,104.3,,1
2023-05-07,250,190,85,2525,210,104.3,,1
2023-05-08,250,190,85,2525,210,104.3,,1
2023-05-09,250,190,85,2525,210,104.3,,1
2023-05-10,250,190,85,2525,210,104.3,,1
2023-05-11,250,190,85,2525,210,104.3,,1
2023-05-12,250,190,85,2525,210,104.3,,1
2023-05-13,225,190,85,2425,210,103.6,,1
2023-05-14,225,190,85,2425,210,103.6,,1
2023-05-15,225,190,85,2425,210,103.6,,1
2023-05-16,225,190,85,2425,210,103.6,,1
2023-05-17,225,190,85,2425,210,103.6,,1
2023-05-18,225,190,85,2425,210,103.6,,1
2023-05-19,225,190,85,2425,210,103.6,,1
2023-05-20,220,200,85,2445,210,101.9,,1
2023-05-21,220,200,85,2445,210,101.9,,1
2023-05-22,220,200,85,2445,210,101.9,,1
2023-05-23,220,200,85,2445,210,101.9,,1
2023-05-24,220,200,85,2445,210,101.9,,1
2023-05-25,220,200,85,2445,210,101.9,,1
2023-05-26,220,200,85,2445,210,101.9,,1
2023-05-27,200,200,85,2365,210,99.6,,1
2023-05-28,200,200,85,2365,210,99.6,,1
2023-05-29,200,200,85,2365,210,99.6,,1
2023-05-30,200,200,85,2365,210,99.6,,1
2023-05-31,200,200,85,2365,210,99.6,,1
2023-06-01,200,200,85,2365,210,99.6,,1
2023-06-02,200,200,85,2365,210,99.6,,1
2023-06-03,180,200,85,2285,210,98.8,,1
2023-06-04,180,200,85,2285,210,98.8,,1
2023-06-05,180,200,85,2285,210,98.8,,1
2023-06-06,180,200,85,2285,210,98.8,,1
2023-06-07,180,200,85,2285,210,98.8,,1
2023-06-08,180,200,85,2285,210,98.8,,1
2023-06-09,180,200,85,2285,210,98.8,,1
2023-06-10,160,200,85,2205,210,97.5,,1
2023-06-11,160,200,85,2205,210,97.5,,1
2023-06-12,160,200,85,2205,210,97.5,,1
2023-06-13,160,200,85,2205,210,97.5,,1
2023-06-14,160,200,85,2205,210,97.5,,1
2023-06-15,160,200,85,2205,210,97.5,,1
2023-06-16,160,200,85,2205,210,97.5,,1
2023-06-17,140,200,85,2125,210,97.5,,1
2023-06-18,140,200,85,2125,210,97.5,,1
2023-06-19,140,200,85,2125,210,97.5,,1
2023-06-20,140,200,85,2125,210,97.5,,1
2023-06-21,140,200,85,2125,210,97.5,,1
2023-06-22,140,200,85,2125,210,97.5,,1
2023-06-23,140,200,85,2125,210,97.5,,1
2023-06-24,140,200,85,2125,210,96.4,,1
2023-06-25,140,200,85,2125,210,96.4,,1
2023-06-26,140,200,85,2125,210,96.4,,1
2023-06-27,140,200,85,2125,210,96.4,,1
2023-06-28,140,200,85,2125,210,96.4,,1
2023-06-29,140,200,85,2125,210,96.4,,1
2023-06-30,140,200,85,2125,210,96.4,,1
2023-07-01,140,200,85,2125,210,95.8,,1
2023-07-02,140,200,85,2125,210,95.8,,1
2023-07-03,140,200,85,2125,210,95.8,,1
2023-07-04,140,200,85,2125,210,95.8,,1
2023-07-05,140,200,85,2125,210,95.8,,1
2023-07-06,140,200,85,2125,210,95.8,,1
2023-07-07,140,200,85,2125,210,95.8,,1
2023-07-08,140,200,85,2125,210,95.1,,1
2023-07-09,140,200,85,2125,210,95.1,,1
2023-07-10,140,200,85,2125,210,95.1,,1
2023-07-11,140,200,85,2125,210,95.1,,1
2023-07-12,140,200,85,2125,210,95.1,,1
2023-07-13,140,200,85,2125,210,95.1,,1
2023-07-14,140,200,85,2125,210,95.1,,1
2023-07-15,140,200,85,2125,210,93.4,,1
2023-07-16,140,200,85,2125,210,93.4,,1
2023-07-17,140,200,85,2125,210,93.4,,1
2023-07-18,140,200,85,2125,210,93.4,,1
2023-07-19,140,200,85,2125,210,93.4,,1
2023-07-20,140,200,85,2125,210,93.4,,1
2023-07-21,140,200,85,2125,210,93.4,,1
2023-07-22,140,200,85,2125,210,94.0,,1
2023-07-23,140,200,85,2125,210,94.0,,1
2023-07-24,140,200,85,2125,210,94.0,,1
2023-07-25,140,200,85,2125,210,94.0,,1
2023-07-26,140,200,85,2125,210,94.0,,1
2023-07-27,140,200,85,2125,210,94.0,,1
2023-07-28,140,200,85,2125,210,94.0,,1
2023-07-29,140,200,85,2125,210,93.8,,1
2023-07-30,140,200,85,2125,210,93.8,,1
2023-07-31,140,200,85,2125,210,93.8,,1
2023-08-01,140,200,85,2125,210,93.8,,1
2023-08-02,140,200,85,2125,210,93.8,,1
2023-08-03,140,200,85,2125,210,93.8,,1
2023-08-04,140,200,85,2125,210,93.8,,1
2023-08-05,120,200,85,2045,210,91.9,,1
2023-08-06,120,200,85,2045,210,91.9,,1
2023-08-07,120,200,85,2045,210,91.9,,1
2023-08-08,120,200,85,2045,210,91.9,,1
2023-08-09,120,200,85,2045,210,91.9,,1
2023-08-10,120,200,85,2045,210,91.9,,1
2023-08-11,120,200,85,2045,210,91.9,,1
2023-08-12,120,200,85,2045,210,92.6,,1
2023-08-13,120,200,85,2045,210,92.6,,1
2023-08-14,120,200,85,2045,210,92.6,,1
