exercise_id,exercise_name
2,Air Bike
3,Back Extension (Hyperextension)
4,Back Extension (Machine)
5,Back Extension (Weighted Hyperextension)
6,Behind the Back Bicep Wrist Curl (Barbell)
7,Behind the Back Bicep Wrist Curl (Cable)
8,Bench Dip
9,Bench Press (Barbell)
10,Bench Press (Dumbbell)
11,Bent Over Row (Barbell)
12,Bicep Curl (Cable)
13,Bicep Curl (Dumbbell)
14,Bicep Curl (Machine)
15,Cable Crunch
16,Cable Fly Crossovers
17,Calf Extension (Machine)
18,Chest Dip (Assisted)
19,Chest Dip (Weighted)
20,Chest Fly (Machine)
21,Chest Press (Machine)
22,Chest Supported Incline Row (Dumbbell)
23,Chin Up
24,Cross Cable Triceps Extension
25,Crunch (Machine)
26,Crunch Hammer Machine
27,Deadlift (Barbell)
28,Deadlift (Dumbbell)
29,Decline Bench Press (Barbell)
30,Decline Bench Press (Machine)
31,Decline Crunch
32,Decline Crunch (Weighted)
33,Dumbbell Row
34,EZ Bar Biceps Curl
35,Front Raise (Cable)
36,Hack Squat (Machine)
38,Hammer Chest Dip Weighted
39,Hammer Curl (Cable)
40,Hammer Curl (Dumbbell)
41,Hammer Hip Thrust (Machine)
42,Hip Abduction (Machine)
43,Hip Adduction (Machine)
44,Hip Thrust (Machine)
45,Horizontal Chest Press LifeFitness
46,Incline Bench Press (Barbell)
47,Incline Bench Press (Dumbbell)
48,Incline Bench Press (Smith Machine)
49,Incline Chest Press (Machine)
50,Iso-Lateral Chest Press (Machine)
51,Iso-Lateral Front Lat Pulldown
52,Iso-Lateral High Row (Machine)
53,Iso-Lateral Horizontal Bench Press
54,Iso-Lateral Low Row
55,Iso-Lateral Row (Machine)
56,Knee Raise Parallel Bars
57,Lat Pulldown (Cable)
58,Lat Pulldown (Machine)
59,Lat Pulldown - Close Grip (Cable)
60,Lateral Raise (Cable)
61,Lateral Raise (Dumbbell)
62,Lateral Raise (Machine)
63,Leg Extension (Machine)
64,Leg Press (Machine)
65,Leg Press Horizontal (Machine)
66,Leg Raise Parallel Bars
67,Low Cable Fly Crossovers
68,Lying Leg Curl (Machine)
69,Plank
70,Preacher Curl (Dumbbell)
71,Preacher Curl (Machine)
72,Pull Up
73,Push Up
74,Rear Delt Reverse Fly (Machine)
75,Reverse Curl (Cable)
76,Romanian Chair Sit Ups
77,Rope Straight Arm Pulldown
78,Seated Cable Row - Bar Grip
79,Seated Cable Row - Bar Wide Grip
80,Seated Cable Row - V Grip (Cable)
81,Seated Dip Machine
82,Seated Incline Curl (Dumbbell)
83,Seated Leg Curl (Machine)
84,Seated Palms Up Wrist Curl
85,Seated Row (Machine)
86,Seated Shoulder Press (Machine)
87,Seated Wrist Extension (Barbell)
88,Shoulder Press (Dumbbell)
89,Shrug (Dumbbell)
90,Single Arm Front Raise (Cable)
91,Single Arm Lat Pull-down (Cable)
92,Single Arm Lateral Raise (Cable)
93,Single Arm Tricep Extension (Dumbbell)
94,Single Arm Triceps Pushdown (Cable)
95,Single Leg Standing Calf Raise (Machine)
96,Skullcrusher (Barbell)
97,Skullcrusher (Cable)
98,Spinning
99,Squat (Barbell)
100,Squat (Bodyweight)
101,Squat (Smith Machine)
102,Stair Machine
103,Stair Machine (Floors)
104,Stair Machine (Steps)
105,Standing Calf Raise (Machine)
106,Standing Leg Curls
107,Straight Leg Deadlift
108,Supinated  Seated Row
109,Treadmill
110,Triceps Extension (Cable)
111,Triceps Pushdown
112,Triceps Rope Pushdown
113,Unilateral Calf Extension (Machine)
114,Unilateral Lat Pulldown (Cable)
115,Unilateral Leg Extension (Machine)
116,Unilateral Rear Delt Reverse Fly (Cable)
117,Unilateral Row (cable)
118,Upright Row (Barbell)
119,Walking
