"title","start_time","end_time","description","exercise_title","superset_id","exercise_notes","set_index","set_type","weight_kg","reps","distance_km","duration_seconds","rpe"
"Evening workout 🏋️","7 Jan 2026, 19:48","7 Jan 2026, 20:14","Lower back,  pantu e abs","Back Extension (Weighted Hyperextension)",,"",0,"normal",40,8,,,
"Evening workout 🏋️","7 Jan 2026, 19:48","7 Jan 2026, 20:14","Lower back,  pantu e abs","Back Extension (Weighted Hyperextension)",,"",1,"normal",42.5,7,,,
"Evening workout 🏋️","7 Jan 2026, 19:48","7 Jan 2026, 20:14","Lower back,  pantu e abs","Unilateral Calf Extension (Machine)",,"",0,"normal",52.5,8,,,
"Evening workout 🏋️","7 Jan 2026, 19:48","7 Jan 2026, 20:14","Lower back,  pantu e abs","Unilateral Calf Extension (Machine)",,"",1,"failure",52.5,8,,,
"Evening workout 🏋️","7 Jan 2026, 19:48","7 Jan 2026, 20:14","Lower back,  pantu e abs","Crunch Hammer Machine",,"",0,"normal",57.5,7,,,
"Evening workout 🏋️","7 Jan 2026, 19:48","7 Jan 2026, 20:14","Lower back,  pantu e abs","Crunch Hammer Machine",,"",1,"failure",57.5,7,,,
"Lower","6 Jan 2026, 19:46","6 Jan 2026, 21:24","","Hip Adduction (Machine)",,"",0,"normal",90,5,,,
"Lower","6 Jan 2026, 19:46","6 Jan 2026, 21:24","","Hip Adduction (Machine)",,"",1,"failure",90,5,,,
"Lower","6 Jan 2026, 19:46","6 Jan 2026, 21:24","","Hip Adduction (Machine)",,"",2,"failure",86.25,6,,,
"Lower","6 Jan 2026, 19:46","6 Jan 2026, 21:24","","Straight Leg Deadlift",,"",0,"normal",100,7,,,
"Lower","6 Jan 2026, 19:46","6 Jan 2026, 21:24","","Straight Leg Deadlift",,"",1,"failure",100,7,,,
"Lower","6 Jan 2026, 19:46","6 Jan 2026, 21:24","","Leg Press (Machine)",,"",0,"normal",280,6,,,
"Lower","6 Jan 2026, 19:46","6 Jan 2026, 21:24","","Leg Press (Machine)",,"",1,"failure",280,5,,,
"Lower","6 Jan 2026, 19:46","6 Jan 2026, 21:24","","Seated Leg Curl (Machine)",,"",0,"normal",108,7,,,
"Lower","6 Jan 2026, 19:46","6 Jan 2026, 21:24","","Seated Leg Curl (Machine)",,"",1,"failure",108,6,,,
"Lower","6 Jan 2026, 19:46","6 Jan 2026, 21:24","","Leg Extension (Machine)",,"",0,"normal",101.25,9,,,
"Lower","6 Jan 2026, 19:46","6 Jan 2026, 21:24","","Leg Extension (Machine)",,"",1,"failure",101.25,8,,,
"Lower","6 Jan 2026, 19:46","6 Jan 2026, 21:24","","Hammer Hip Thrust (Machine)",,"",0,"normal",140,6,,,
"Lower","6 Jan 2026, 19:46","6 Jan 2026, 21:24","","Hammer Hip Thrust (Machine)",,"",1,"failure",140,6,,,
"Lower","6 Jan 2026, 19:46","6 Jan 2026, 21:24","","Treadmill",,"",0,"normal",,,,1200,
"Upper I","5 Jan 2026, 19:46","5 Jan 2026, 21:14","","Seated Row (Machine)",,"",0,"normal",103,6,,,
"Upper I","5 Jan 2026, 19:46","5 Jan 2026, 21:14","","Seated Row (Machine)",,"",1,"failure",103,6,,,
"Upper I","5 Jan 2026, 19:46","5 Jan 2026, 21:14","","Seated Row (Machine)",,"",2,"dropset",77.5,5,,,
"Upper I","5 Jan 2026, 19:46","5 Jan 2026, 21:14","","Lat Pulldown - Close Grip (Cable)",,"",0,"normal",97.5,7,,,
"Upper I","5 Jan 2026, 19:46","5 Jan 2026, 21:14","","Lat Pulldown - Close Grip (Cable)",,"",1,"failure",97.5,6,,,
"Upper I","5 Jan 2026, 19:46","5 Jan 2026, 21:14","","Hammer Chest Dip Weighted",,"",0,"normal",2.5,7,,,
"Upper I","5 Jan 2026, 19:46","5 Jan 2026, 21:14","","Hammer Chest Dip Weighted",,"",1,"failure",2.5,6,,,
"Upper I","5 Jan 2026, 19:46","5 Jan 2026, 21:14","","Chest Fly (Machine)",,"",0,"normal",131.25,7,,,
"Upper I","5 Jan 2026, 19:46","5 Jan 2026, 21:14","","Chest Fly (Machine)",,"",1,"failure",131.25,6,,,
"Upper I","5 Jan 2026, 19:46","5 Jan 2026, 21:14","","Shoulder Press (Dumbbell)",,"",0,"normal",37.5,8,,,
"Upper I","5 Jan 2026, 19:46","5 Jan 2026, 21:14","","Shoulder Press (Dumbbell)",,"",1,"failure",37.5,7,,,
